Course,Prereqs
BI1010,
BI102,
BI1020,BI1010
BI1030,BI1010
BI2020,BI102 CH223
BI2040,BI1010
BI2305,BI102 CH200
BI2315,BI2305
BI256,BI1010
BI499,IC
BA1220,
BA2220,
BA2222,BA1220
BA2331,
BA2401,JR
BA2440,BA1220|BA2220|BA2222|IE423
BA2442,
BA2501,
BA2661,
BA3411,SO
BA3420,
BA3423,SO
BA3444,SO
BA3801,
BA4330,JR
BA4520,
BA4530,JR
BA4970,JR
CE1901,
CE1911,CE1901
CE1921,CE1911
CE2801,CS1011|SE1011 CE1901
CE2812,CE2801 CS1011|SE1011
CE2820,CE2812
CE3100,EE2050
CE3101,EE2050
CE3200,CE2812|EE2930
CE4951,MA262 CE2812 EE2931
CE498,IC
CH200,
CH200A,
CH201,CH200
CH222,CH200
CH223,CH222
CH302,CH201
CH3020,CH200|CH2050|CH103
CH303,CH302
CH322,CH222 CH223
CH323,CH322
CH353,CH200 JR
CH3650,CH200 PH2031
CH3660,CH200 PH2031
CH3670,CH200
CH371,CH200
CH373,CH200
CH401,IC
CH499,IC
CS1011,
CS1021,CS1011|SE1011
CS2040,CS2852
CS2300,CS1021|SE1021
CS2400,CS2852 CS2300 MA2310
CS2711,CS1011|SE1011
CS2852,CS1021|SE1021
CS2911,CS1011|SE1011
CS3040,CS2040
CS3210,CE
CS3300,CS3400 MA262
CS3310,CS3300
CS3400,CS2852 MA383
CS3840,CS2711 CS2040|SE2040
CS3844,CS2711 CS2040|SE2040
CS3851,CS2852 MA3320
CS3860,CS2852 MA2310
CS4000,SR
CS4010,SR
CS4020,SR
CS421,SE2811|CS3210
CS4230,CS2852
CS3450,CS3400
CS4802,CS2852|CS2510 MA262
CS4860,CS2852
CS4881,CS2852 MA2310
CS4920,CE2801|CS2711|EE2905
CS493,CE2930|CE2812|EE3921
CS4980,IC
CS4981,IC
CS4999,IC
EB2240,BI102 CH223
EB3300,BI102 PH2031
EB3400,CH223
EE3050,EE2070 EE3002B PH2011 MA383
EE3220,EE2070 EE3002B EE1910 CS1011|SE1011
EE3720,EE3050
EE481,SR
EE484,CS2510 CS1021|SE1021 MA383
GS1001,
GS1002,
GS1003,
HU432,JR
IE423,SO
MA136,
MA137,MA136
MA231,MA137
MA2310,SO
MA232,MA231
MA235,MA231|MA226
MA262,MA137
MA327,MA235
MA330,MA232 MA226
MA3320,MA2310
MA343,MA383 MA2831
MA344,MA231 MA343
MA3620,MA232 MA235
MA3710,MA235
MA380,MA232 MA235
MA381,MA232 MA235
MA382,MA232 MA235
MA383,MA231|MA225|MA3501
MA384,MA262 MA3610 MA3620
MA385,MA235
MA386,MA232
MA387,MA232 MA235
MA388,MA231
MA390,
MA461,MA2630 MA2631
MA481,MA343 MA344 IC
OR402,JR
PH2011,MA136
PH2021,PH2011 MA137
PH2031,PH2021 MA137 MA232
PH320,PH2021 MA137 MA225
PH322,PH2021
PH324,PH2021 PH2031
PH325,PH2021
PH341,PH2021
PH342,JR IC
PH352,PH2031 IC
PH354,PH2031 IC
PH360,PH2031
PH3600,PH2031
PH3710,CH223 PH2031
PH401,IC
PH499,IC
SC310,CH200 MA136
SE1011,
SE1021,CS1011|SE1011
SE2030,CS2852
SE2800,CS2852 SE2030
SE2811,CS2852 SE2030
SE2832,CS2852 MA2310
SE2840,CS2852 CS2911
SE3010,SE2800 SE2811
SE3020,SE3010
SE3030,SE3020
SE3250,CS2852
SE3800,SE2800 SE2832
SE3810,SE2811 SE3821
SE3821,SE2030
SE3830,MA262 CS2852 SE3821
SE3910,CS2711|CE2930 CS3840|CS3841
SE4000,SR
SE4010,SR
SE4020,SR
SE4910,CS2852
SE4930,SE2800 IC
SE4940,CS2911 CE4960
SE4980,IC
SE4981,IC
SE4999,IC
TC321,GS1002
TC342,
TC452,
TC4510,GS1001 GS1002 GS1003 SO
UX1400,
UX172,
UX242,GS1002 GS1003
UX253,GS1002
UX254,GS1002
UX255,GS1002 TC321
UX333,GS1002
UX345,UX
UX361,GS1002
UX498,SO IC
